mileage,make,model,fuel,gear,offerType,price,hp,year
107517,22,662,6,1,4,3950,67.0,2011
199726,48,503,1,1,4,3980,90.0,2011
178304,20,286,1,1,4,3990,109.0,2011
213990,22,665,1,1,4,3990,90.0,2011
103000,22,662,6,1,4,3990,69.0,2011
104500,40,429,6,1,4,3990,88.0,2011
169500,46,405,1,1,4,3990,106.0,2011
43000,22,662,6,1,4,3990,69.0,2011
51174,19,445,6,1,4,3990,69.0,2011
199000,41,110,1,1,4,3999,110.0,2011
110000,57,661,6,0,4,3999,61.0,2011
99121,43,13,6,1,4,3999,60.0,2011
202000,20,286,1,1,4,3999,95.0,2011
93000,57,661,6,0,4,4795,71.0,2012
131663,20,284,6,1,4,4799,60.0,2012
137500,54,671,6,1,4,4800,75.0,2012
122600,43,14,6,1,4,4800,120.0,2012
81698,54,671,6,1,4,4804,60.0,2012
87000,41,236,6,1,4,4850,69.0,2012
89000,28,452,6,1,4,4870,69.0,2012
26147,46,602,6,1,4,4890,75.0,2012
81500,53,119,6,1,4,4899,68.0,2012
119600,20,284,6,1,4,4900,82.0,2012
153289,22,665,8,1,4,4900,109.0,2012
52000,20,284,6,0,4,4900,97.0,2012
56000,20,366,6,1,4,4900,69.0,2012
215000,20,286,1,1,4,4900,116.0,2012
159999,19,253,1,1,4,4900,90.0,2012
81000,53,119,6,1,4,4900,68.0,2012
120185,47,348,1,1,4,4948,105.0,2012
116000,47,348,6,1,4,4950,86.0,2012
99000,20,366,6,1,4,4999,69.0,2013
175000,28,194,1,1,4,4999,128.0,2013
74415,19,339,6,1,4,4999,69.0,2013
42000,22,663,6,1,4,4999,86.0,2013
85571,28,495,6,1,4,5000,86.0,2013
68900,20,366,6,1,4,5100,69.0,2013
73350,48,201,6,1,4,5180,60.0,2013
124000,20,284,1,1,4,5200,75.0,2013
162300,41,96,6,1,4,5200,69.0,2013
38220,53,119,6,1,4,5200,68.0,2013
109500,28,495,6,1,4,5200,86.0,2013
115000,11,247,6,1,4,5200,120.0,2013
94000,47,348,6,1,4,5200,69.0,2013
74000,15,392,6,1,4,5200,90.0,2013
150000,28,495,6,1,4,5200,86.0,2013
58200,20,284,6,1,4,5200,60.0,2013
150000,28,619,1,1,4,5200,90.0,2013
78000,20,366,6,1,4,5250,69.0,2013
95000,15,535,6,1,4,5250,90.0,2013
50500,20,284,6,1,4,5990,60.0,2015
50531,57,661,6,0,4,5990,71.0,2015
